paramtype,param_name,med_est,high_est,low_est
democracy,malek,-1.6791939827781472,-1.6287686365101344,-1.7309558029530097
democracy,malekk,1.5360770766582037,1.5763952679794404,1.4948729796256897
democracy,mand0z,-0.12311851185079324,0.02544293361549926,-0.26290347478300674
democracy,mar3e,-1.6128394777688053,-1.5634899886497717,-1.658816177379323
democracy,maramirou,0.5155800570049294,0.6315415545583974,0.4008524826599887
democracy,maroo_king,0.45177169980553306,0.5571375962215408,0.34278282594809634
democracy,marwen,1.5040462962642493,1.5495597502988916,1.4561869374114522
democracy,may_mouna,1.5971236025301532,1.6386000151033513,1.5572816608560573
democracy,mazloum,0.5249367870221329,0.6929195344599202,0.353796793714048
democracy,memam8,-1.7370279647722096,-1.6909960642899515,-1.7842572964814079
democracy,mennagamal,1.154618160908036,1.3057040027177111,1.0190772466213538
democracy,minanaguib90,-0.43751261397585883,-0.31762295365436255,-0.5430826739881162
democracy,minazekri,-1.0109528962053347,-0.9379533403496249,-1.0915185476002551
democracy,mira404,1.8126189169947207,1.8433063995426868,1.7823752289887123
democracy,moftasa,-0.9284998004516064,-0.8524437321119505,-1.0048260979168973
democracy,mohamedwaked,-1.9046497527263664,-1.8583525645335877,-1.9480747472739284
democracy,monaeltahawy,-0.6048175428130107,-0.49966847054147473,-0.7107247957229157
democracy,monasosh,-2.3568344069251133,-2.311599390029392,-2.3955941556239333
democracy,mounej,1.705277522588097,1.7518066730760304,1.6544091583776448
democracy,muhammadmorsi,0.8988593184877787,1.0400962638460454,0.6610695499483138
democracy,mushaweh,1.21358201065501,1.3509422356443577,1.0758711107650796
democracy,nabilelhalfawy,-1.7735540977219082,-1.7278504071009428,-1.8217636760121574
democracy,naderbakkar,0.17754278781520422,0.2960417093644231,0.05548875091115797
democracy,naguibsawiris,-1.9988724782432243,-1.9971024481236241,-2.000579522124047
democracy,nahdhatunisie,1.1634910411425743,1.2923370417161062,0.6040409359493812
democracy,nasry,-1.2548233423415893,-1.186880276049024,-1.3200280064222003
democracy,nawaat,2.0009979752517526,2.0027813367274976,1.9994131668233928
democracy,nawaranegm,-3.025781996315729,-2.980894312902949,-3.0719345683375114
democracy,nayzek,0.6030000108484965,0.7053928505979753,0.49305710439853123
democracy,nizarus,1.1559423507537074,1.224506896372611,1.0838171380204722
democracy,ooouups,1.5698215849608648,1.611907619484578,1.52277513916577
democracy,out__rage,0.9547742551693035,1.0302270774055722,0.8719087560979301
democracy,pakinamamer,0.00943329887863395,0.15957111496715137,-0.12035363283067771
democracy,psycke,1.8317476904613539,1.864448945462033,1.795490519708789
democracy,r_ghannouchi,1.2000850283923246,1.3256752316533864,0.6480081098194113
democracy,ramiii,-0.07755118182912585,0.06991835587557904,-0.2125866683258975
democracy,rashapress,-1.9436912862800892,-1.9013621541936954,-1.9844808220504255
democracy,riadheh,1.746137387476904,1.7840779987138469,1.707356677921948
democracy,salmaeldaly,-1.0253262431739707,-0.9497005389464482,-1.1023086772254267
democracy,salmasaid,-1.3520449802131176,-1.2875763416517931,-1.4131830725184302
democracy,sameh_b,1.9278457106823734,1.9623158374207486,1.8928936811650723
democracy,sandmonkey,-1.2852885641088514,-1.2212864658369553,-1.3477793651180603
democracy,sans_url,1.7388539989495535,1.782640160389041,1.6938354087803202
democracy,sarah_bh,2.2609980811715396,2.2940164582348666,2.2334186987270903
democracy,sarahcarr,-0.8173330131681733,-0.7252385325890107,-0.90644545055059
democracy,sarahngb,-0.25680345486501555,-0.12106896519012636,-0.3864210403331304
democracy,seksek,-1.5251609269523247,-1.4667985523612423,-1.5820608429517995
democracy,shokeir,-1.492434069044116,-1.4336202268428095,-1.5489179750635997
democracy,slim404,1.9995175142058048,2.001126257335529,1.997994389379225
democracy,slimazzabi,1.2735583591116892,1.3360807562596884,1.2151405755761147
democracy,ssirgany,-0.33808583446708185,-0.21289572654918135,-0.4613526889390333
democracy,takriz,0.49153224105361204,0.5999972585575266,0.381994804316148
democracy,tarekshalaby,-0.21965771776381254,-0.08558567561098862,-0.34594990996130015
democracy,theadly,0.7180788689699515,0.8493517851494031,0.5887339841934991
democracy,thebigpharaoh,-2.0926823479359475,-2.0464051972791357,-2.1371209922666217
democracy,theboghdady,0.03416064348194483,0.1638088902028148,-0.09311212181323854
democracy,themiinz,-1.206730726239322,-1.1399143295371856,-1.271400231132328
democracy,theonlywarman,0.4984516585143789,0.6655891795641691,0.3277755402316824
democracy,thesherio,-0.23610405228207743,-0.09131899271842366,-0.3700773859263292
democracy,tom_z,0.3767533963460538,0.48629349765440966,0.26809652286308294
democracy,viagramoniak,0.45912914038604424,0.5736357170977184,0.3442228090504121
democracy,wael,-1.627427558098828,-1.5793243260220327,-1.6759641149080828
democracy,waelabbas,1.9984120163359267,2.000115369078048,1.9967653606961502
democracy,yamenbousrih,1.062091181197287,1.1325572441039613,0.9880668265558525
democracy,yassayari,1.3474441159135426,1.4702688684506287,0.8805589095375957
democracy,yhzami,0.771570100084495,0.8549887062825596,0.686637580094332
democracy,yonosmakhyoun,1.2060663081225769,1.342528887238833,1.0631476949789633
democracy,yosrifouda,-0.11556796050976842,0.02428602523792108,-0.25567294381981126
democracy,yusraghkh,1.5368967711274513,1.637979567589714,0.810005704098168
democracy,zeinabsamir,-0.9033799052728848,-0.8202876503835888,-0.9839247446284927
democracy,zeinebturki,1.7539042849237734,1.7900909513676133,1.716364353526206
democracy,zeinobia,-1.6475817453646706,-1.5983497047778954,-1.6946313299530669
democracy,zelaky,-2.3165008447038717,-2.2763596145164553,-2.360530651123221
democracy,ziedladhari,1.1283420814571823,1.2729278176003749,0.32353139469507675
democracy,zinga_,0.3962837772172779,0.5021724051047808,0.28592290308587587
democracy,zizoo,1.2794475355672206,1.3312982641131608,1.224574896512802
secularism,Islamist Egypt,0.9986604203820678,1.0003467253664706,0.996994621468819
secularism,Islamist Tunisia,0.04605401855699879,1.3043177509758528,-0.05800863394603179
secularism,Secularist Egypt,-0.3610355304047684,-0.31601584383254616,-0.4198379152846292
secularism,Secularist Tunisia,-0.9979437123676228,-0.9962993781563483,-0.9995363316874677
